Year,Month,JOTR_all,JOTR_overnight,CCI_USA,LA_pop,GoogleSearch_JOTR,GoogleSearch_DEVA,GoogleSearch_Coachella,GasPrices,NPS_noJOTR,BurningMan
2008,1,102205.00 ,17617.00 ,98.66745,3801600,50,55,15,3,"273,460,503",48599
2008,2,127998.00 ,21686.00 ,98.28046,3801600,58,65,8,3.078,"273,460,503",48599
2008,3,260407.00 ,48497.00 ,97.81391,3801600,62,68,7,3.293,"273,460,503",48599
2008,4,177975.00 ,36956.00 ,97.28801,3801600,53,53,20,3.507,"273,460,503",48599
2008,5,113044.00 ,19172.00 ,96.91043,3801600,43,49,5,3.815,"273,460,503",48599
2008,6,60395.00 ,5358.00 ,96.79169,3801600,35,37,3,4.105,"273,460,503",48599
2008,7,64621.00 ,2957.00 ,96.99389,3801600,34,33,3,4.114,"273,460,503",48599
2008,8,66032.00 ,3177.00 ,97.25005,3801600,35,33,2,3.833,"273,460,503",48599
2008,9,78831.00 ,7759.00 ,97.32576,3801600,34,40,2,3.756,"273,460,503",48599
2008,10,117308.00 ,25792.00 ,96.97441,3801600,50,41,3,3.112,"273,460,503",48599
2008,11,129558.00 ,25890.00 ,96.71896,3801600,43,41,3,2.208,"273,460,503",48599
2008,12,94072.00 ,19759.00 ,96.71152,3801600,43,49,3,1.745,"273,460,503",48599
2009,1,98513.00 ,21539.00 ,96.7187,3831900,48,51,13,1.84,"284,275,470",43558
2009,2,97112.00 ,23496.00 ,96.69278,3831900,47,51,12,1.975,"284,275,470",43558
2009,3,171428.00 ,43965.00 ,96.8938,3831900,53,52,9,2.011,"284,275,470",43558
2009,4,177361.00 ,42482.00 ,97.33988,3831900,50,47,22,2.102,"284,275,470",43558
2009,5,123705.00 ,23123.00 ,97.72372,3831900,38,42,4,2.316,"284,275,470",43558
2009,6,74463.00 ,8823.00 ,97.88263,3831900,37,35,3,2.681,"284,275,470",43558
2009,7,65923.00 ,4056.00 ,97.83762,3831900,33,39,3,2.582,"284,275,470",43558
2009,8,67161.00 ,5036.00 ,97.88111,3831900,40,39,3,2.67,"284,275,470",43558
2009,9,79011.00 ,10311.00 ,98.05814,3831900,35,40,2,2.609,"284,275,470",43558
